InputData;Service;Method;KubernetesObjectType;KubernetesObjectName;DockerImage;DockerImageVersion;KubernetesNamespace;KubernetesGracePeriodInSeconds;Function
We should delete the Kubernetes deployment that exposed metrics for monitoring.;;;;;;;;;Kubernetes.Delete.Deployment
Could you remove the Kubernetes deployment with a specific deployment strategy?;;;;;;;;;Kubernetes.Delete.Deployment
Let's delete the Kubernetes deployment that utilized a specific network policy.;;;;;;;;;Kubernetes.Delete.Deployment
I need you to remove the Kubernetes deployment with a specific service account.;;;;;;;;;Kubernetes.Delete.Deployment
Please delete the Kubernetes deployment that ran the application on multiple namespaces.;;;;;;;;;Kubernetes.Delete.Deployment
It would be great if you could delete the Kubernetes deployment with custom health checks.;;;;;;;;;Kubernetes.Delete.Deployment
I want you to remove the Kubernetes deployment that utilized a specific service type.;;;;;;;;;Kubernetes.Delete.Deployment
Let's delete the Kubernetes deployment with custom initialization containers.;;;;;;;;;Kubernetes.Delete.Deployment
Could you remove the Kubernetes deployment with a specific rolling update strategy?;;;;;;;;;Kubernetes.Delete.Deployment
We no longer need the Kubernetes deployment that supported canary analysis with Istio.;;;;;;;;;Kubernetes.Delete.Deployment
Remove kubernetes deployment;;;;;;;;;Kubernetes.Delete.Deployment
the kubernetes deployment is useless;;;;;;;;;Kubernetes.Delete.Deployment
the kubernetes deployment is no longer used;;;;;;;;;Kubernetes.Delete.Deployment
Deploy a Kubernetes persistent volume.;;;;;;;;;Kubernetes.Create.PersistentVolume
Generate a persistent storage unit in Kubernetes.;;;;;;;;;Kubernetes.Create.PersistentVolume
Create a Kubernetes volume with lasting persistence.;;;;;;;;;Kubernetes.Create.PersistentVolume
Set up a Kubernetes persistent data repository.;;;;;;;;;Kubernetes.Create.PersistentVolume
Provision a durable volume in Kubernetes.;;;;;;;;;Kubernetes.Create.PersistentVolume
Establish a Kubernetes persistent storage space.;;;;;;;;;Kubernetes.Create.PersistentVolume
Create a Kubernetes volume that persists over time.;;;;;;;;;Kubernetes.Create.PersistentVolume
Implement a Kubernetes persistent storage solution.;;;;;;;;;Kubernetes.Create.PersistentVolume
Create a Kubernetes persistent volume for data storage.;;;;;;;;;Kubernetes.Create.PersistentVolume
Set up a Kubernetes volume with sustained persistence.;;;;;;;;;Kubernetes.Create.PersistentVolume
Generate a Kubernetes storage space that persists indefinitely.;;;;;;;;;Kubernetes.Create.PersistentVolume
Deploy a Kubernetes persistent data repository.;;;;;;;;;Kubernetes.Create.PersistentVolume
Provision a Kubernetes persistent storage resource.;;;;;;;;;Kubernetes.Create.PersistentVolume
Create a Kubernetes volume that provides lasting persistence.;;;;;;;;;Kubernetes.Create.PersistentVolume
Set up a Kubernetes persistent volume claim.;;;;;;;;;Kubernetes.Create.PersistentVolume
Deploy a Kubernetes volume with long-lived persistence.;;;;;;;;;Kubernetes.Create.PersistentVolume
Generate a Kubernetes storage solution that persists over time.;;;;;;;;;Kubernetes.Create.PersistentVolume
Establish a Kubernetes persistent storage class.;;;;;;;;;Kubernetes.Create.PersistentVolume
Create a Kubernetes volume for durable data storage.;;;;;;;;;Kubernetes.Create.PersistentVolume
Provision a Kubernetes persistent volume for long-lasting storage.;;;;;;;;;Kubernetes.Create.PersistentVolume
Deploy a Kubernetes persistent storage unit for data persistence.;;;;;;;;;Kubernetes.Create.PersistentVolume
Set up a Kubernetes volume with sustained durability.;;;;;;;;;Kubernetes.Create.PersistentVolume
Generate a Kubernetes storage space that persists indefinitely.;;;;;;;;;Kubernetes.Create.PersistentVolume
Create a Kubernetes persistent data repository for reliable storage.;;;;;;;;;Kubernetes.Create.PersistentVolume
Provision a Kubernetes persistent storage resource for data persistence.;;;;;;;;;Kubernetes.Create.PersistentVolume
Deploy a Kubernetes volume with lasting persistence.;;;;;;;;;Kubernetes.Create.PersistentVolume
Generate a Kubernetes storage solution that persists over time.;;;;;;;;;Kubernetes.Create.PersistentVolume
Establish a Kubernetes persistent volume claim for data storage.;;;;;;;;;Kubernetes.Create.PersistentVolume
Create a Kubernetes volume with durable persistence.;;;;;;;;;Kubernetes.Create.PersistentVolume
Set up a Kubernetes persistent storage class for long-lived storage.;;;;;;;;;Kubernetes.Create.PersistentVolume
Provision a Kubernetes persistent volume for reliable data storage.;;;;;;;;;Kubernetes.Create.PersistentVolume
Deploy a Kubernetes persistent storage unit for sustained persistence.;;;;;;;;;Kubernetes.Create.PersistentVolume
Generate a Kubernetes storage space that persists indefinitely.;;;;;;;;;Kubernetes.Create.PersistentVolume
Create a Kubernetes persistent data repository for lasting storage.;;;;;;;;;Kubernetes.Create.PersistentVolume
Provision a Kubernetes persistent storage resource for extended persistence.;;;;;;;;;Kubernetes.Create.PersistentVolume
Deploy a Kubernetes volume with persistent durability.;;;;;;;;;Kubernetes.Create.PersistentVolume
Generate a Kubernetes storage solution that persists over an extended period.;;;;;;;;;Kubernetes.Create.PersistentVolume
Establish a Kubernetes persistent volume claim for reliable data storage.;;;;;;;;;Kubernetes.Create.PersistentVolume
Create a Kubernetes volume with long-lasting persistence.;;;;;;;;;Kubernetes.Create.PersistentVolume
Set up a Kubernetes persistent storage class for sustained storage.;;;;;;;;;Kubernetes.Create.PersistentVolume
Provision a Kubernetes persistent volume for persistent data storage.;;;;;;;;;Kubernetes.Create.PersistentVolume
Deploy a Kubernetes persistent storage unit for durable persistence.;;;;;;;;;Kubernetes.Create.PersistentVolume
Generate a Kubernetes storage space that persists indefinitely.;;;;;;;;;Kubernetes.Create.PersistentVolume
Create a Kubernetes persistent data repository for extended storage.;;;;;;;;;Kubernetes.Create.PersistentVolume
